id,name,coordenada,road_closure
7981159,Irene Morales,"-33.436905,-70.636868",No
7981313,Teatinos,"-33.432377,-70.655518",No
7981317,San Antonio,"-33.433092,-70.648721",No
7991807,Ismael Valdés Vergara,"-33.433083,-70.652118",No
8000035,Purísima,"-33.434982,-70.638862",No
8000089,Avenida 5 de Abril,"-33.510172,-70.743489",No
8000232,Diagonal Paraguay,"-33.442262,-70.643907",No
8000309,Rotonda Rodrigo de Araya,"-33.473436,-70.588616",No
8000322,Avenida Providencia,"-33.436766,-70.634758",No
8000329,Santa Isabel,"-33.452874,-70.656967",No
